Flight;Date;From;To;AC reg;STD;ATD;STA;ATA;TOFF;TDWN;ATD +/-;ATA +/-;BLK +/-;TAXI -> TOFF;TAXI -> ATA;Delaycodes;CNL;
D83797;2025-01-27;DWC;CPH;SERYC;0320 ; 0317;1040 ; 1025;0332;1017;-3;-15;-12;+15;+8;;;
DY1322;2025-01-27;TOS;LGW;LNENQ;0515 ; 0516;0910 ; 0912;0549;0906;+1;+2;1;+33;+6;;;
D82876;2025-01-27;HEL;TFS;SERTE;0515 ; 0529;1155 ; 1220;0537;1216;+14;+25;11;+8;+4;0014/TN;;
D83079;2025-01-27;AAL;CPH;SERTO;0520 ; 0511;0605 ; 0557;0520;0548;-9;-8;1;+9;+9;;;
D88872;2025-01-27;ARN;BLL;SERTH;0520 ; 0523;0645 ; 0646;0533;0641;+3;+1;-2;+10;+5;0003/WI;;
D88864;2025-01-27;CPH;AAL;LNFGG;0530 ; 0525;0615 ; 0611;0535;0607;-5;-4;1;+10;+4;;;
DY521;2025-01-27;SVG;OSL;SERPI;0530 ; 0518;0625 ; 0607;0526;0603;-12;-18;-6;+8;+4;;;
DY741;2025-01-27;TRD;OSL;LNNHA;0530 ; 0521;0630 ; 0611;0528;0608;-9;-19;-10;+7;+3;;;
DY331;2025-01-27;BDU;OSL;SERPD;0530 ; 0527;0725 ; 0724;0541;0720;-3;-1;2;+14;+4;;;
DY361;2025-01-27;EVE;OSL;LNDYX;0530 ; 0523;0730 ; 0711;0541;0708;-7;-19;-12;+18;+3;;;
DY371;2025-01-27;TOS;OSL;LNNIL;0530 ; 0529;0735 ; 0732;0546;0729;-1;-3;-2;+17;+3;;;
DY601;2025-01-27;BGO;OSL;LNENT;0535 ; 0526;0630 ; 0619;0535;0615;-9;-11;-2;+9;+4;;;
DY421;2025-01-27;MOL;OSL;LNDYR;0545 ; 0538;0640 ; 0627;0546;0624;-7;-13;-6;+8;+3;;;
D84002;2025-01-27;UME;ARN;SERXC;0545 ; 0547;0650 ; 0651;0556;0642;+2;+1;-1;+9;+9;;;
D84030;2025-01-27;LLA;ARN;SERXD;0545 ; 0543;0710 ; 0709;0558;0700;-2;-1;1;+15;+9;;;
D84281;2025-01-27;ARN;HEL;SERTM;0550 ; 0551;0645 ; 0650;0602;0643;+1;+5;4;+11;+7;;;
DY401;2025-01-27;AES;OSL;SERPJ;0550 ; 0539;0650 ; 0634;0547;0631;-11;-16;-5;+8;+3;;;
D84050;2025-01-27;ARN;SFT;SERTC;0550 ; 0548;0700 ; 0659;0559;0656;-2;-1;1;+11;+3;;;
DY329;2025-01-27;ALF;TOS;LNNIH;0555 ; 0548;0640 ; 0636;0608;0633;-7;-4;3;+20;+3;;;
DY271;2025-01-27;KRS;OSL;SERPG;0600 ; 0556;0650 ; 0640;0603;0637;-4;-10;-6;+7;+3;;;
DY181;2025-01-27;HAU;OSL;LNENN;0600 ; 0558;0655 ; 0650;0606;0647;-2;-5;-3;+8;+3;;;
DY522;2025-01-27;OSL;SVG;LNNGK;0600 ; 0555;0655 ; 0654;0614;0650;-5;-1;4;+19;+4;;;
DY801;2025-01-27;ARN;OSL;SERTF;0600 ; 0559;0700 ; 0710;0615;0700;-1;+10;11;+16;+10;;;
D82030;2025-01-27;RIX;ARN;SERPS;0600 ; 0553;0710 ; 0702;0559;0650;-7;-8;-1;+6;+12;;;
D82522;2025-01-27;HEL;RVN;SERTD;0600 ; 0555;0720 ; 0714;0606;0711;-5;-6;-1;+11;+3;;;
D82002;2025-01-27;RIX;OSL;SERRJ;0600 ; 0558;0735 ; 0742;0607;0732;-2;+7;9;+9;+10;;;
DY341;2025-01-27;BOO;OSL;SERPF;0600 ; 0558;0740 ; 0728;0606;0722;-2;-12;-10;+8;+6;;;
DY1302;2025-01-27;OSL;LGW;SERPE;0600 ; 0555;0835 ; 0827;0616;0819;-5;-8;-3;+21;+8;;;
D84451;2025-01-27;ARN;LGW;SERXA;0600 ; 0607;0835 ; 0840;0613;0833;+7;+5;-2;+6;+7;0003/AW;;
D85370;2025-01-27;ALC;CPH;SERRF;0600 ; 0550;0915 ; 0854;0600;0848;-10;-21;-11;+10;+6;;;
D85078;2025-01-27;AGP;AAL;LNFGH;0600 ; 0550;0935 ; 0902;0601;0857;-10;-33;-23;+11;+5;;;
DY1800;2025-01-27;OSL;AGP;LNDYU;0600 ; 0554;1015 ; 1026;0613;1017;-6;+11;17;+19;+9;;;
D83194;2025-01-27;CPH;ARN;SERTJ;0610 ; 0601;0725 ; 0720;0612;0711;-9;-5;4;+11;+9;;;
D83510;2025-01-27;CPH;LGW;SERRE;0610 ; 0608;0805 ; 0805;0617;0758;-2;0;2;+9;+7;;;
D83081;2025-01-27;AAL;CPH;SERTB;0625 ; 0631;0710 ; 0720;0642;0716;+6;+10;4;+11;+4;0006/AS;;
D83082;2025-01-27;CPH;AAL;SERTO;0630 ; 0620;0715 ; 0702;0629;0659;-10;-13;-3;+9;+3;;;
DY605;2025-01-27;BGO;OSL;LNENS;0630 ; 0621;0725 ; 0710;0630;0706;-9;-15;-6;+9;+4;;;
DY523;2025-01-27;SVG;OSL;LNNGS;0630 ; 0624;0725 ; 0720;0632;0716;-6;-5;1;+8;+4;;;
DY745;2025-01-27;TRD;OSL;LNNII;0630 ; 0620;0730 ; 0719;0628;0712;-10;-11;-1;+8;+7;;;
DY804;2025-01-27;OSL;ARN;LNNOD;0630 ; 0618;0740 ; 0734;0634;0724;-12;-6;6;+16;+10;;;
