Flight;Date;From;To;AC reg;STD;ATD;STA;ATA;TOFF;TDWN;ATD +/-;ATA +/-;BLK +/-;TAXI -> TOFF;TAXI -> ATA;Delaycodes;CNL;
D82882;2025-03-25;HEL;AGP;SERTK;0455 ; 0450;0940 ; 0929;0509;0926;-5;-11;-6;+19;+3;;;
D83079;2025-03-25;AAL;CPH;SERRJ;0520 ; 0512;0605 ; 0558;0520;0552;-8;-7;1;+8;+6;;;
D83406;2025-03-25;CPH;RAK;SERPS;0520 ; 0514;0950 ; 0915;0523;0911;-6;-35;-29;+9;+4;;;
D83999;2025-03-25;DWC;ARN;SERTO;0520 ; 0520;1255 ; 1314;0531;1308;0;+19;19;+11;+6;;;
DY521;2025-03-25;SVG;OSL;LNENN;0530 ; 0516;0625 ; 0606;0523;0601;-14;-19;-5;+7;+5;;;
DY331;2025-03-25;BDU;OSL;LNDYR;0530 ; 0520;0725 ; 0719;0543;0715;-10;-6;4;+23;+4;;;
DY361;2025-03-25;EVE;OSL;SERPI;0530 ; 0522;0730 ; 0711;0543;0708;-8;-19;-11;+21;+3;;;
DY371;2025-03-25;TOS;OSL;SERPL;0530 ; 0531;0735 ; 0740;0559;0733;+1;+5;4;+28;+7;;;
DY601;2025-03-25;BGO;OSL;LNENL;0535 ; 0528;0630 ; 0617;0537;0613;-7;-13;-6;+9;+4;;;
D82602;2025-03-25;HEL;ARN;SERTG;0540 ; 0536;0650 ; 0644;0545;0630;-4;-6;-2;+9;+14;;;
DY421;2025-03-25;MOL;OSL;LNNHE;0545 ; 0544;0640 ; 0802;0000;0000;-1;+82;83;0;0;;CNL;
D84002;2025-03-25;UME;ARN;SERRS;0545 ; 0532;0650 ; 0633;0541;0625;-13;-17;-4;+9;+8;;;
D84030;2025-03-25;LLA;ARN;SERTH;0545 ; 0540;0710 ; 0708;0602;0704;-5;-2;3;+22;+4;;;
DY401;2025-03-25;AES;OSL;LNDYY;0550 ; 0538;0650 ; 0635;0546;0625;-12;-15;-3;+8;+10;;;
DY329;2025-03-25;ALF;BOO;SERPG;0555 ; 0552;0753 ; 0753;0638;0750;-3;0;3;+46;+3;;;
DY271;2025-03-25;KRS;OSL;LNNHA;0600 ; 0557;0650 ; 0639;0603;0636;-3;-11;-8;+6;+3;;;
DY602;2025-03-25;OSL;BGO;LNNIQ;0600 ; 0549;0655 ; 0639;0558;0636;-11;-16;-5;+9;+3;;;
DY522;2025-03-25;OSL;SVG;LNENU;0600 ; 0603;0655 ; 0658;0613;0652;+3;+3;0;+10;+6;0003/FT;;
DY181;2025-03-25;HAU;OSL;LNDYT;0600 ; 0547;0655 ; 0638;0556;0634;-13;-17;-4;+9;+4;;;
DY740;2025-03-25;OSL;TRD;LNNIB;0600 ; 0555;0700 ; 0653;0605;0650;-5;-7;-2;+10;+3;;;
DY801;2025-03-25;ARN;OSL;SERTA;0600 ; 0555;0700 ; 0655;0607;0651;-5;-5;0;+12;+4;;;
D84151;2025-03-25;ARN;CPH;SERTR;0600 ; 0555;0710 ; 0701;0605;0657;-5;-9;-4;+10;+4;;;
DY341;2025-03-25;BOO;OSL;LNENV;0600 ; 0602;0740 ; 0736;0620;0731;+2;-4;-6;+18;+5;;;
D84451;2025-03-25;ARN;LGW;SERRP;0600 ; 0638;0835 ; 0858;0645;0852;+38;+23;-15;+7;+6;0038/AW;;
DY1302;2025-03-25;OSL;LGW;SERPE;0600 ; 0559;0835 ; 0934;0735;0928;-1;+59;60;+96;+6;;;
D85370;2025-03-25;ALC;CPH;SERXD;0600 ; 0559;0915 ; 0926;0605;0920;-1;+11;12;+6;+6;;;
D85070;2025-03-25;AGP;CPH;SERRB;0600 ; 0555;0945 ; 0941;0605;0934;-5;-4;1;+10;+7;;;
D85330;2025-03-25;ALC;TRF;SERRF;0600 ; 0550;0945 ; 0932;0559;0928;-10;-13;-3;+9;+4;;;
DY1260;2025-03-25;OSL;AYT;SERPD;0600 ; 0551;1005 ; 0951;0600;0945;-9;-14;-5;+9;+6;;;
DY1800;2025-03-25;OSL;AGP;LNDYX;0600 ; 0558;1015 ; 0949;0607;0944;-2;-26;-24;+9;+5;;;
D85052;2025-03-25;AGP;ARN;LNFGG;0600 ; 0558;1020 ; 1026;0612;1018;-2;+6;8;+14;+8;;;
D83194;2025-03-25;CPH;ARN;SERPR;0610 ; 0604;0725 ; 0723;0619;0717;-6;-2;4;+15;+6;;;
D83698;2025-03-25;CPH;ACE;SERTC;0615 ; 0602;1140 ; 1046;0615;1042;-13;-54;-41;+13;+4;;;
D83081;2025-03-25;AAL;CPH;LNFGF;0625 ; 0619;0710 ; 0704;0628;0658;-6;-6;0;+9;+6;;;
D83082;2025-03-25;CPH;AAL;SERRJ;0630 ; 0621;0715 ; 0706;0632;0702;-9;-9;0;+11;+4;;;
DY523;2025-03-25;SVG;OSL;SERPF;0630 ; 0620;0725 ; 0712;0628;0704;-10;-13;-3;+8;+8;;;
DY605;2025-03-25;BGO;OSL;LNENM;0630 ; 0629;0725 ; 0717;0638;0714;-1;-8;-7;+9;+3;;;
DY745;2025-03-25;TRD;OSL;LNNGD;0630 ; 0621;0730 ; 0710;0628;0706;-9;-20;-11;+7;+4;;;
DY804;2025-03-25;OSL;ARN;SERXB;0630 ; 0624;0740 ; 0723;0634;0713;-6;-17;-11;+10;+10;;;
D83220;2025-03-25;CPH;OSL;SERRO;0630 ; 0624;0745 ; 0732;0634;0728;-6;-13;-7;+10;+4;;;
DY932;2025-03-25;OSL;CPH;LNNIN;0630 ; 0620;0745 ; 0725;0629;0720;-10;-20;-10;+9;+5;;;
DY1790;2025-03-25;OSL;ALC;SERPJ;0645 ; 0641;1030 ; 1020;0654;1015;-4;-10;-6;+13;+5;;;
DY604;2025-03-25;OSL;BGO;LNENL;0700 ; 0649;0755 ; 0742;0659;0739;-11;-13;-2;+10;+3;;;
DY524;2025-03-25;OSL;SVG;LNENN;0700 ; 0651;0755 ; 0744;0701;0740;-9;-11;-2;+10;+4;;;
DY742;2025-03-25;OSL;TRD;LNNII;0700 ; 0654;0755 ; 0751;0703;0748;-6;-4;2;+9;+3;;;
DY607;2025-03-25;BGO;OSL;LNENS;0700 ; 0657;0755 ; 0745;0706;0741;-3;-10;-7;+9;+4;;;
DY747;2025-03-25;TRD;OSL;LNENT;0700 ; 0649;0800 ; 0737;0658;0734;-11;-23;-12;+9;+3;;;
D88922;2025-03-25;LPA;ALC;SERRE;0700 ; 1042;0950 ; 1320;1051;1317;+222;+210;-12;+9;+3;0342/TD;;
D84201;2025-03-25;ARN;ALC;SERTM;0700 ; 0656;1100 ; 1045;0711;1040;-4;-15;-11;+15;+5;;;
DY422;2025-03-25;OSL;MOL;LNENT;0710 ; 0815;0810 ; 0906;0824;0904;+65;+56;-9;+9;+2;0105/RO;;
D82876;2025-03-25;HEL;TFS;SERTL;0715 ; 0710;1355 ; 1319;0723;1316;-5;-36;-31;+13;+3;;;
DY270;2025-03-25;OSL;KRS;LNNHA;0720 ; 0712;0810 ; 0754;0719;0751;-8;-16;-8;+7;+3;;;
DY525;2025-03-25;SVG;OSL;LNENU;0720 ; 0726;0815 ; 0820;0736;0814;+6;+5;-1;+10;+6;0003/RA, 0003/FL;;
DY402;2025-03-25;OSL;AES;LNDYY;0720 ; 0708;0820 ; 0810;0723;0807;-12;-10;2;+15;+3;;;
